,ISO3,Calsuff_2000,Calsuff_ssp1,Calsuff_ssp2,Calsuff_ssp3,Calsuff_ssp4,Calsuff_ssp5,trade_dep_2013,GDP_ssp1_2010,GDP_ssp1,GDP_ssp2,GDP_ssp3,GDP_ssp4,GDP_ssp5,name,Trade_1998,Trade_2001,Trade_2013
41,DZA,0.5303166007620166,0.987535944122908,0.8412819820831816,0.4872939208925542,0.7842219719065713,0.7271111254668093,0.01087262267028244,7.564424269764294,22.093813120224816,16.835012619888946,11.88320205296361,16.668173323482115,27.328967007507405,Algeria,0.1331286745479765,0.040334351329045504,0.010872622670282439
42,ECU,0.9231712122513398,0.7932293292163111,0.8699765204924597,0.5939628044008824,0.8560094029141053,1.0095676473099295,0.611296866659464,7.200829588662288,27.1292333149476,20.27870974164966,13.508041391347712,19.31899376387274,33.89882071440779,Ecuador,0.5471495882266741,0.5767679451491398,0.611296866659464
43,EGY,0.6845815183892648,0.3647074186599759,0.2558982533187451,0.4362156044977531,0.3315676560281826,0.34383908658318624,0.16315012814666474,5.543546060822722,29.44925226445666,22.41321149117819,15.091488277268093,21.687786347825313,35.99611575238147,Egypt,0.24118910542120253,0.2522498457066944,0.16315012814666474
44,ERI,0.9515533641015004,0.5570031499828597,0.6501518487125583,0.5768808279058509,0.476652629427376,0.5551258981587432,,0.4897221164826799,3.049152876280536,1.3482894963039367,0.6972423560776472,0.5475553393334955,4.399481815564726,Eritrea,,,
45,ESP,3.400046184277497,2.924019857685403,3.0273306546457075,2.9279105944729995,2.9947170325203456,2.4497145199548003,0.1348441536183571,26.96143412114504,41.19918983612594,38.16171341925701,33.64664151284426,40.76963858281735,47.540227467602854,Spain,0.21965713154185562,0.17315746677126942,0.1348441536183571
46,EST,3.2271670557799363,4.511578041023312,4.955776473626946,4.147487421673037,5.585818393461267,4.2403376745027215,0.7022967832483289,16.594332587621178,51.31005372217959,51.50119142176331,46.53479853479853,53.836562763268745,57.53835425383543,Estonia,0.18318784387232934,0.20544765225358463,0.7022967832483289
47,ETH,1.054888451863266,0.4230902822428594,0.4744396194453602,0.6219348628635142,0.5395366467346704,0.7514451197724471,0.4617589360330503,0.9322242314647378,10.085235866300616,5.6392094642666,3.047801157570184,2.498434493330289,13.745253441437239,Ethiopia,0.4794521877508179,0.45742999954333774,0.4617589360330503
48,FIN,2.696490213783393,4.0052510669210015,4.237920831301048,3.5958066377243005,4.253563427713749,3.6882446326280767,0.4569388180775326,31.700279589934762,56.596590020334745,54.34617875647668,50.901702786377705,60.38041563930961,63.81431921644365,Finland,0.5057677625659338,0.48109942814005735,0.45693881807753256
49,FRA,5.9853361051944125,3.5898671985387263,3.6197192666670714,3.6153031725425553,3.5995326082880084,3.0663231291233743,0.9791553307903516,29.595657195657196,51.806707302086664,47.695192549710555,43.50821869899744,53.36973426648433,58.952758145335984,France,1.0,1.0,0.9791553307903516
50,GAB,0.6980261353325127,2.222532287386408,0.6632360321386156,0.633798399533973,1.3292272888289685,2.242965119154908,0.14792264080879058,13.614617940199336,38.36295951605398,29.60402097902098,20.023181454836134,21.915594855305468,46.176085941149,Gabon,0.2759636524846285,0.21585420596572202,0.14792264080879058
51,GBR,1.8910661542046558,1.4707886716514258,1.5026124181761034,1.377057640814777,1.5705578121052153,0.8296322116226229,0.2520431564898492,32.469727255142175,59.76973155133459,54.79249791100899,49.8007331924941,60.86601914414413,67.91721354545149,United Kingdom,0.3806179918201925,0.33650955378150904,0.2520431564898492
52,GEO,1.6600700221948608,3.3901628772098817,2.4372283434052955,2.0378616435988115,3.111824800365097,3.861294205462692,0.14630044117617946,4.651194852941177,32.61711711711711,23.4494730316181,16.810964572019653,25.26240426240426,41.30191458026509,Georgia,0.1442656855229607,0.17205126319265518,0.14630044117617946
53,GHA,1.0724530371162049,0.4734884065774064,0.5200458017992214,0.4141507067273824,0.4862807811523677,0.5742439302004548,0.4598834562544122,1.4784355526402098,14.512643793388635,8.934470415732276,5.042180390430061,4.348384232626108,18.827749611474868,Ghana,0.49949452386612014,0.46270962288618844,0.4598834562544122
54,GIN,1.3474520015713864,1.0630790611837542,0.7961437133751907,0.6703510905750448,0.6221542500662335,2.2674782205928556,0.3773638039743557,0.9783610498898017,25.204364494249486,13.970671834625323,6.237125992265418,5.358770384680947,32.99464038727525,Guinea,0.39819728116539754,0.38924757799263443,0.37736380397435565
55,GMB,1.6415026750002086,0.4543911029626803,0.4745992011152954,0.3552334609901737,0.4277160504323383,0.4252200844925713,0.04987109440084292,1.833912037037037,12.847120418848167,8.457073021692636,5.132133676092544,4.529222520107238,16.791143911439114,Gambia,0.1815086981840497,0.1414235972239477,0.04987109440084292
56,GNB,1.1707297997765815,1.0917531340093598,0.7062881423268385,0.763848467711392,0.6801899697915221,1.020544962031932,0.6399747467454947,1.0640264026402642,11.098345999105947,6.495176848874598,3.4731567644953474,3.006220270764727,15.071691176470587,Guinea Bissau,0.4593627199076572,0.5237005436866902,0.6399747467454947
57,GNQ,0.2754375135711031,0.636395458533376,0.6153610828583189,0.5945756870252605,1.025695960829207,0.7130934115266857,,30.76857142857143,57.770404271548436,46.93416493416493,36.95167785234899,42.739924433249364,67.74430199430199,Equatorial Guinea,,,
58,GRC,3.1414479575419616,2.7887063501320584,2.964839269525739,2.731711939687892,2.828055812140787,2.6341459270856653,0.2448140059033361,24.112774011796812,48.843497680810856,44.18145448079659,37.458478216404174,48.19359357489727,56.83743073441036,Greece,0.3607575594221345,0.3376533616375539,0.24481400590333613
59,GTM,0.8206092313075134,0.4862321992764488,0.3823835022763428,0.4772791607876266,0.3873998014549769,0.5574677248195187,0.659992298286342,4.296545972617972,20.42712982728508,12.997756859603443,7.640217920623325,6.765362060173381,26.285930645498222,Guatemala,0.6380071186899127,0.61361979700337,0.659992298286342
60,GUY,1.8560442604922112,1.7953710295359593,1.8426550463775635,1.9801263831506104,1.9466092154123555,4.017567551418321,1.0,3.1061007957559683,18.538694992412747,12.099726775956283,8.340602284527519,12.476968796433878,23.881132075471697,Guyana,1.0,1.0,1.0
61,HND,1.2846094842703513,0.8773822978353379,0.7748925258995125,0.5487344936658193,0.5683860327482506,1.024662418150445,0.4775484399970346,3.5184844099460597,18.22726372102239,12.071961574749121,7.541144227475162,6.697039544766981,23.56105856095228,Honduras,0.4330700065905464,0.39569692679526625,0.47754843999703467
62,HRV,4.284144428122452,3.3698415562724864,3.436504762423647,3.3357609755362105,3.303705471256796,3.1100610962476725,0.4885447381941348,16.183284124460595,34.61256014180805,30.05488555254738,24.79218208807521,33.53539590980598,40.83964800782204,Croatia,0.4122939382381504,0.42730112414450283,0.4885447381941348
